tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
199309208,5318922015,2597053,4361696,30,0
199336998,5318946844,2597147,4361786,6,0
199340650,5318948663,2597161,4361802,9,0
199365874,5318968614,2597214,4361858,10,0
199384874,5318975707,2597402,4361966,5,0
199400110,5318990005,2597445,4362012,5,0
199402976,5318991421,2597461,4362027,109,0
199409531,5318996379,2597486,4362052,7,0
199423686,5319007721,2597518,4362084,6,0
199443243,5319087130,2597583,4362173,11,0
199448153,5319179434,2597627,4362249,10,0
199459128,5319182109,2597646,4362269,12,0
199469368,5319185292,2597681,4362304,4,0
199493194,5319193384,2597708,4362335,4,0
199495624,5319194438,2597719,4362346,7,0
199499720,5319201190,2597741,4362369,24,0
199513772,5319206476,2597765,4362393,111,0
199516124,5319207674,2597777,4362407,5,0
199532053,5319215148,2597803,4362431,0,0
199589973,5320115011,2598207,4363154,114,0
199612021,5320598542,2598449,4363519,8,0
199626094,5321091067,2598651,4363876,8,0
199654716,5322134669,2599066,4364619,6,0
199676903,5322647424,2599301,4364983,24,0
199705750,5323420202,2599627,4365535,4,0
199725269,5324136544,2599944,4366041,9,0
199751016,5325034287,2600316,4366667,5,0
199792658,5326026734,2600824,4367377,13,0
199834570,5326967321,2601351,4368050,8,0
199875602,5328021982,2601847,4368792,7,0
199898666,5328698930,2602113,4369271,18,0
199922088,5329394064,2602385,4369755,17,0
199955266,5330494960,2602881,4370541,26,0
199968211,5330933068,2603088,4370848,4,0
199986955,5331252996,2603245,4371082,109,0
200011499,5331700660,2603524,4371398,8,0
200028290,5332086291,2603759,4371673,11,0
200043909,5332489681,2603986,4371959,10,0
200053666,5332788569,2604137,4372174,27,0
200123507,5334869369,2605063,4373653,11,0
200142529,5335515925,2605305,4374108,15,0
200200168,5337064299,2605914,4375204,22,0
200225592,5337955249,2606252,4375830,13,0
200255839,5338885443,2606665,4376482,11,0
200315647,5340539900,2607514,4377644,11,0
200335929,5341320690,2607850,4378193,9,0
200377096,5342374308,2608296,4378928,20,0
200405413,5343528173,2608774,4379737,9,0
200441167,5344681069,2609268,4380540,6,0
200473510,5345735179,2609676,4381279,25,0
200522162,5347115089,2610250,4382247,13,0
200564664,5348474317,2610767,4383195,7,0
200630156,5350830017,2611673,4384835,25,0
200684826,5352205917,2612386,4385793,7,0
200724377,5353283128,2612956,4386546,7,0
200747411,5354021371,2613301,4387059,10,0
200781994,5355033712,2613761,4387774,5,0
200802543,5355591098,2614016,4388163,7,0
200828234,5356308397,2614333,4388668,6,0
200851054,5356877411,2614648,4389067,7,0
200865723,5357418625,2614893,4389450,17,0
200887755,5358253996,2615245,4390035,4,0
200903132,5358900175,2615495,4390490,19,0
200942450,5359975948,2616053,4391241,20,0
201008317,5361494959,2616973,4392299,35,0
201038822,5362241535,2617348,4392819,7,0
201067359,5362821828,2617716,4393228,12,0
201087055,5363147813,2617943,4393466,5,0
201115320,5363686177,2618297,4393850,9,0
201154911,5364268526,2618619,4394318,9,0
201175191,5364860957,2618912,4394759,19,0
201223393,5366317076,2619541,4395812,17,0
201250789,5367028249,2619908,4396336,8,0
201273273,5367512435,2620124,4396694,5,0
201298820,5368318274,2620471,4397270,7,0
201311831,5368819094,2620679,4397624,6,0
201332206,5369526522,2620995,4398135,7,0
201363995,5370309707,2621356,4398704,130,0
201390486,5370893566,2621632,4399124,5,0
201414468,5371563983,2621967,4399606,5,0
201426859,5372047904,2622177,4399947,30,0
201439818,5372473487,2622372,4400258,6,0
201454999,5372938993,2622592,4400597,19,0
201473880,5373424889,2622831,4400947,12,0
201538034,5374624211,2623521,4401811,5,0
201563241,5375293465,2623858,4402287,5,0
201602911,5376030801,2624275,4402826,7,0
201673980,5377729745,2625024,4404071,7,0
201719129,5379031531,2625540,4404998,22,0
201764690,5380991662,2626306,4406370,4,0
201812237,5382495318,2626893,4407438,6,0
201893917,5385168904,2628035,4409312,18,0
201933069,5386396382,2628554,4410182,4,0
201974399,5387845436,2629129,4411208,5,0
202030293,5389864598,2629859,4412619,5,0
202065653,5391265152,2630415,4413602,9,0
202097620,5392539591,2630929,4414491,5,0
202125471,5393520723,2631283,4415185,21,0
202163544,5394648972,2631741,4415986,4,0
202238025,5396897996,2632629,4417600,4,0
202294291,5398701400,2633308,4418883,4,0
202325152,5400076400,2633828,4419842,5,0
202375406,5401334790,2634379,4420741,118,0
202403370,5402647654,2634842,4421660,5,0
202468055,5404687069,2635651,4423106,17,0
202545813,5406730523,2636579,4424554,4,0
202614965,5409071045,2637475,4426201,9,0
202672247,5411378630,2638348,4427802,12,0
202742571,5414136057,2639459,4429708,22,0
202828088,5417453914,2640652,4432027,10,0
202883909,5420034117,2641556,4433826,8,0
202937662,5422062245,2642315,4435243,7,0
